/* begin x
end x */

/* begin 3
end 3 */


/* begin 2: see gantry close to the target waypoint

[RosEnv] I see the Gantry robot in 4.950318907319966 meters: gantry_detected
[RosEnv]  t: 350
[RosEnv] hs: 0.07854219823451226
[RosEnv] rs: -6.728624391667615E-16
[RosEnv]  d: 4.950318907319966
[human] Detected the Gantry robot in close proximity and moving towards me, selecting a different table.
[human] Now moving to: station4
[RosEnv] Human reached waypoint	!
[RosEnv] cont: 1
[human] Work completed at station4
[human] Now moving to: station3
[RosEnv]  t: 355
[RosEnv] hs: 0.051158940924633994
[RosEnv] rs: 1.5509210077818185E-11
[RosEnv]  d: 4.865906654771594
[RosEnv]  t: 359
[RosEnv] hs: 0.03142459527712197
[RosEnv] rs: 0.0
[RosEnv]  d: 4.824426189005793
[RosEnv]  t: 364
[RosEnv] hs: 0.001681070801043119
[RosEnv] rs: 0.0
[RosEnv]  d: 4.821652422184072
[RosEnv]  t: 369
[RosEnv] hs: 8.324714767154176E-4
[RosEnv] rs: 0.0
[RosEnv]  d: 4.8202788442474915
[RosEnv]  t: 373
[RosEnv] hs: 0.0029085603653300146
[RosEnv] rs: 0.0
[RosEnv]  d: 4.816439544565256
[RosEnv]  t: 378
[RosEnv] hs: 0.007964382440438813
[RosEnv] rs: 0.0
[RosEnv]  d: 4.803298313538532
[RosEnv] Human reached waypoint	!
[RosEnv] cont: 2
[human] Work completed at station3
[human] Now moving to: station1
[RosEnv]  t: 383
[RosEnv] hs: 0.02205582769298689
[RosEnv] rs: -1.6494818978709656E-11
[RosEnv]  d: 4.766906197872951
[RosEnv]  t: 387
[RosEnv] hs: 0.1342362556672241
[RosEnv] rs: 2.0053319274486992E-11
[RosEnv]  d: 4.589714340364998
[RosEnv]  t: 392
[RosEnv] hs: 0.12704661930692213
[RosEnv] rs: 5.382899513334091E-16
[RosEnv]  d: 4.380087418508577

end 2 */

/* begin 1: general log
[RosEnv]  t: 2541
[RosEnv] hs: 0.12143395297227477
